id,user_id,type,amount,balance_after,description,payment_method,payment_reference,status,created_at
fb97b410-34f9-4e5b-b5e5-801058576ea3,9e34224d-d112-4388-a720-13a31e96674b,deposit,500.0000,500.0000,Test deposit for development,admin_credit,"",completed,2026-04-05 03:20:05.774085+00
9e641898-2160-4074-9f95-0cffa378cd70,c9260d36-1c6d-4994-83a6-db7a3cf6c404,order,-0.0258,0.6822,Reschedule run #7 (+19899 units),wallet,"",completed,2026-06-15 16:25:04.955597+00
2f060108-f1ea-4608-a4cf-94e4e1859b25,df7a1e9d-614e-4bf2-9013-f918b6014696,order_payment,0.0647,0.8385,Engagement Order #6850,"","",completed,2026-06-27 12:57:16.320383+00
9168254e-df1b-421a-a8ef-335847b0f62c,327f1043-9e1e-48ff-bbe4-b27a37e50016,deposit,0.5988,0.5988,Wallet top-up via ZapUPI (₹50.00),zapupi,ZAP_054745584761406486220820a704a6b3,completed,2026-06-27 21:47:09.252108+00
ca6c2155-4563-4a36-86f2-31bdec9a002f,402f3706-c0ab-452d-925e-0a20282c82c6,deposit,0.5988,0.6074,Wallet top-up via ZapUPI (₹50.00),zapupi,ZAP_ca3241c4929c4c4a925c0d90571d113a,completed,2026-06-28 14:48:31.870393+00
4042e423-9778-4b1a-9ab3-5297a4d40c7a,cf39859d-8eca-4e64-9cae-b7294cb498ca,order_payment,0.0446,0.5469,Engagement Order #7103,"","",completed,2026-06-29 07:51:47.873774+00
c33d9446-3320-4f4c-8f97-fb533456785b,1c13e460-9d19-438f-927c-cf9bd7ba4537,deposit,0.5400,0.5400,"{""inr_amount"":""50"",""screenshot_url"":null,""type"":""razorpay_manual""}",razorpay_manual,861472202411,completed,2026-04-05 06:20:05.420037+00
2a6416d6-14cb-4aee-af03-c76c72ae1e1d,56d2407f-77b0-442a-92bc-be4914ba3d72,order_payment,0.0706,0.5282,Engagement Order #7149,"","",completed,2026-06-29 16:09:59.309455+00
3c45da8a-b43b-46f8-aaec-1f38cbf4e2d6,b2b9eb00-1b92-4c69-be0e-feb35b2dbe03,deposit,0.5988,0.5988,Wallet top-up via ZapUPI (₹50.00),zapupi,ZAP_458626c81f8c43dcbb3090c6be96cb16,completed,2026-06-29 16:21:57.372802+00
06e67778-e69a-46a2-8d60-344c7e197a3a,3910f3ca-7f8c-4676-b239-e888b2e247cf,order_payment,0.2935,0.7769,Engagement Order #7155,"","",completed,2026-06-29 16:30:19.058019+00
b64a06b5-e1f2-40e0-9749-2cd41aefaf26,d8e9604c-3f21-4ccc-9e26-57d905f97beb,order_payment,0.0865,0.8161,Engagement Order #7190,"","",completed,2026-06-30 00:12:38.141959+00
3e337fb5-ea43-4342-b164-a752ee9de108,8f8481d8-5177-43da-9e0a-e278c5cb434e,deposit,0.5988,0.5988,Wallet top-up via ZapUPI (₹50.00),zapupi,ZAP_812f1e6772414c9bbc2dbe3e113d0c13,completed,2026-06-30 06:23:12.058678+00
1641fcf1-0c10-4b83-87ba-2186197eb3dd,18e4bbe2-ec3d-4fcc-9763-225dcf881eaa,order_payment,0.0004,0.3732,API Order #1296 - ▶ Instagram Video - Reels Views,"","",completed,2026-06-30 06:24:37.409332+00
0df7a0a9-d091-4193-bfd9-26c6c56da417,8f8481d8-5177-43da-9e0a-e278c5cb434e,order_payment,0.1293,0.4695,Engagement Order #7213,"","",completed,2026-06-30 06:28:09.358012+00
d46fc374-e9da-46fd-8029-792f51d2e0fb,cf39859d-8eca-4e64-9cae-b7294cb498ca,order_payment,0.0432,0.2204,Engagement Order #7215,"","",completed,2026-06-30 06:36:59.190853+00
fc0f4e14-0c61-42be-b74a-a82688b44f59,b00e38a0-23c1-4bce-88f8-8dbd216b1397,order_payment,0.0554,1.1549,Engagement Order #7259,"","",completed,2026-06-30 13:00:02.634839+00
c8bd8758-e42a-4e84-81bb-28540de2efc5,18e4bbe2-ec3d-4fcc-9763-225dcf881eaa,order_payment,0.0032,0.3656,API Order #1301 - ❤️ Instagram Likes | Global Users | Instant Start | NR | HQ | Very Fast,"","",completed,2026-06-30 13:00:20.804863+00
51e781b9-2947-4d03-ba60-4ebd8ebc03a5,b00e38a0-23c1-4bce-88f8-8dbd216b1397,order_payment,0.0563,0.8730,Engagement Order #7263,"","",completed,2026-06-30 13:02:09.49017+00
2e4ac28b-5edf-4cb2-a5d2-006b8d07ed9b,8ab07df9-f0b7-4590-9d13-c8658de86966,deposit,1.0700,1.0700,"{""inr_amount"":""100"",""screenshot_url"":null,""type"":""razorpay_manual""}",razorpay_manual,562511416625,completed,2026-04-05 18:25:07.679467+00
b195c84c-9ef2-4854-bae6-f5f969e3b2aa,91e57e5e-253b-439e-88ca-768956c7dd93,deposit,0.5400,0.5400,"{""inr_amount"":""50"",""screenshot_url"":""https://ziqdvrxvkwryprwpqped.supabase.co/storage/v1/object/public/deposit-screenshots/91e57e5e-253b-439e-88ca-768956c7dd93/1775413816899.jpg"",""type"":""razorpay_manual""}",razorpay_manual,300234236041,completed,2026-04-05 18:30:18.667415+00
da52a2cc-88bd-4f05-b9dd-ebca4a4e743e,91e57e5e-253b-439e-88ca-768956c7dd93,order,-0.0146,0.0630,Order #1 - Instagram [Reel/Video Views] [Cheapest] [100-300kSpeed] [No Refill],"","",completed,2026-04-05 19:14:39.80989+00
84575d2a-7f34-4df6-a36f-bdb581bc47e4,b96b31e4-63ae-4aa7-b96e-168d6701cea2,deposit,0.3200,0.3200,"{""inr_amount"":""30"",""screenshot_url"":null,""type"":""razorpay_manual""}",razorpay_manual,pay_SZxqh7sG7FLO8n,completed,2026-04-05 21:46:10.110256+00
9eba7b32-0bee-46e2-80d5-8481aaa5ba65,465cdc41-36e6-42b5-b15b-b36542c826db,order_payment,0.3881,0.0416,Engagement Order #7314,"","",completed,2026-06-30 18:58:27.1812+00
b186029a-22ff-4f8a-9acd-add3d6c7c9a5,4a59bd5e-e14a-4be0-b21e-d30bc947741c,deposit,1.0700,1.0700,"{""inr_amount"":""100"",""screenshot_url"":""https://ziqdvrxvkwryprwpqped.supabase.co/storage/v1/object/public/deposit-screenshots/4a59bd5e-e14a-4be0-b21e-d30bc947741c/1775456615646.jpg"",""type"":""razorpay_manual""}",razorpay_manual,983206539689,completed,2026-04-06 06:23:37.755331+00
ed375237-7205-4b42-9136-aaeacd0d4698,14da3e05-3b04-48e4-8d3c-c0bff4bbb414,deposit,0.5400,0.5400,"{""inr_amount"":""50"",""screenshot_url"":""https://ziqdvrxvkwryprwpqped.supabase.co/storage/v1/object/public/deposit-screenshots/14da3e05-3b04-48e4-8d3c-c0bff4bbb414/1775468239756.jpeg"",""type"":""razorpay_manual""}",razorpay_manual,365357950956,completed,2026-04-06 09:38:57.48202+00
97f40f4d-9eb6-4244-bdbd-3c96323c16ed,8ab07df9-f0b7-4590-9d13-c8658de86966,order,-0.0164,0.3696,Run edit: +117 units (Order #19),"","",completed,2026-04-06 10:53:34.141828+00
c3e3d6a9-fd17-4f07-81ab-f0d8a5ce89d2,55437a3e-61e1-46d7-9e0c-07977b4f71e5,deposit,0.5400,0.5400,"{""inr_amount"":""50"",""screenshot_url"":""https://ziqdvrxvkwryprwpqped.supabase.co/storage/v1/object/public/deposit-screenshots/55437a3e-61e1-46d7-9e0c-07977b4f71e5/1775477026098.jpg"",""type"":""razorpay_manual""}",razorpay_manual,518740394782,completed,2026-04-06 12:03:47.234564+00
6e289d83-ff1e-41d3-8d56-4c0cdebaf481,55437a3e-61e1-46d7-9e0c-07977b4f71e5,order,-0.0049,0.5351,Order #2 - Instagram [Reel/Video Views] [Cheapest] [100-300kSpeed] [No Refill],"","",completed,2026-04-06 12:16:36.222795+00
be911177-de5a-405f-8a17-9334b5ee3bff,55437a3e-61e1-46d7-9e0c-07977b4f71e5,order,-0.0049,0.5303,Order #3 - Instagram [Reel/Video Views] [Cheapest] [100-300kSpeed] [No Refill],"","",completed,2026-04-06 13:10:44.513573+00
c1447d34-8fa6-41fa-a064-50ae3d04cbad,18e4bbe2-ec3d-4fcc-9763-225dcf881eaa,order_payment,0.0005,0.3396,API Order #1322 - ▶ Instagram Video - Reels Views,"","",completed,2026-07-01 01:05:36.99086+00
fd667fdc-af1b-4ff3-b445-3af631d90ec2,670ab6a0-2a24-45f8-b4b6-2774ecab925b,order_payment,0.1090,0.3314,Engagement Order #7349,"","",completed,2026-07-01 05:37:31.995314+00
48869232-1751-4d79-bf86-4131ada6ac53,841ebb22-cf81-482f-a890-009fb12ca038,refund,-2.1000,0.0000,Admin withdrawal,"","",completed,2026-04-06 13:32:26.904424+00
4006992e-7a3a-42a9-b7c3-0e12741c273e,4463abb2-7b14-4173-b871-e3e988c4e694,order,-0.0076,0.4785,Order #4 - 🇮🇳 Instagram Likes [INDIAN] - [ Max: 1M  | Speed: 100K/Day ]  Super Instant 🔥,"","",completed,2026-04-06 13:35:10.697044+00
462fa5be-47a3-4aca-9279-f14f009f753e,18e4bbe2-ec3d-4fcc-9763-225dcf881eaa,order_payment,0.0034,0.3179,API Order #1338 - ❤️ Instagram Likes | Global Users | Instant Start | NR | HQ | Very Fast,"","",completed,2026-07-01 05:38:36.788312+00
20cc3177-4cf7-4a4b-b73c-34bcab61edb5,55437a3e-61e1-46d7-9e0c-07977b4f71e5,order,-0.0069,0.5234,Order #5 - 👀 INSTAGRAM VIEWS [NATURAL SPEED],"","",completed,2026-04-06 14:37:16.378746+00
9b197b43-e769-42d6-a3e5-6bdbaef1b008,f38be778-9033-42d4-98e3-e99bc023443d,deposit,0.3200,0.3200,"{""inr_amount"":""30"",""screenshot_url"":""https://ziqdvrxvkwryprwpqped.supabase.co/storage/v1/object/public/deposit-screenshots/f38be778-9033-42d4-98e3-e99bc023443d/1775488439569.jpg"",""type"":""razorpay_manual""}",razorpay_manual,299847040142,completed,2026-04-06 15:14:05.398843+00
b8098fac-cd90-4490-be8f-8c584927c146,e0b9b0b7-b704-4eb1-ba6d-bd5acb4d7957,deposit,0.5400,1.0800,"{""inr_amount"":""50"",""screenshot_url"":""https://ziqdvrxvkwryprwpqped.supabase.co/storage/v1/object/public/deposit-screenshots/e0b9b0b7-b704-4eb1-ba6d-bd5acb4d7957/1775499413427.jpg"",""type"":""razorpay_manual""}",razorpay_manual,300293529027,completed,2026-04-06 18:16:54.255804+00
74382c5b-8399-488a-9b2e-2a914019afbf,e94a810a-6684-4592-a4d8-5ace414a8d50,deposit,1.0700,0.0000,"{""inr_amount"":""100"",""screenshot_url"":null,""type"":""razorpay_manual""}",razorpay_manual,655666558955685,failed,2026-04-05 08:25:33.275042+00
48d36932-3785-4787-aeea-7a340e95f7f8,c6659751-1e60-46f9-96db-3a4518ea337a,deposit,0.3200,0.0000,"{""inr_amount"":""30"",""screenshot_url"":null,""type"":""razorpay_manual""}",razorpay_manual,T2604051102160728445636,failed,2026-04-05 05:35:57.435395+00
488ddad4-c8d6-430d-a482-147246107799,58ea8f2f-1ca7-4649-a5a4-7522b811e6ca,order_payment,0.0294,1.1369,Order #870 - Instagram Likes Emergency [100k+ Per Day] [HQ] [30 Days Refill],"","",completed,2026-06-06 03:05:54.145561+00
98c3ec3c-42a2-4759-923f-c927c5b55be8,e0b9b0b7-b704-4eb1-ba6d-bd5acb4d7957,deposit,0.5400,0.5400,"{""inr_amount"":""50"",""screenshot_url"":""https://ziqdvrxvkwryprwpqped.supabase.co/storage/v1/object/public/deposit-screenshots/e0b9b0b7-b704-4eb1-ba6d-bd5acb4d7957/1775499366302.jpg"",""type"":""razorpay_manual""}",razorpay_manual,300293529027,completed,2026-04-06 18:16:07.57719+00
dcc91687-7e73-459d-8852-b408ed4c95d7,f0bb7b87-4204-4327-8daf-e7ac171e031d,order_payment,0.0097,0.2454,Order #832 - Instagram [Reel/Video Views] [Cheapest] [100-300kSpeed] [No Refill],"","",completed,2026-06-01 12:07:02.120069+00
57ad7658-09a4-422e-afb6-adb328e90a68,fd7b3557-4e3f-49a9-8486-66b7381b01d1,deposit,0.8600,0.8600,"{""inr_amount"":""80"",""screenshot_url"":null,""type"":""razorpay_manual""}",razorpay_manual,609704064606,completed,2026-04-06 22:43:25.48716+00
51b9ad87-6c29-44fa-ab41-07392decc6c9,95343ff1-0983-400c-9a3d-809bac3cf77c,deposit,2.1500,2.1725,"{""inr_amount"":""200"",""screenshot_url"":""https://ziqdvrxvkwryprwpqped.supabase.co/storage/v1/object/public/deposit-screenshots/95343ff1-0983-400c-9a3d-809bac3cf77c/1775516401547.jpg"",""type"":""razorpay_manual""}",razorpay_manual,pay_SaNcwTNpTXkwnV,completed,2026-04-06 23:00:06.382208+00
80ea09ea-c017-4260-8473-f33e99f8bbe5,f33ae326-664a-493f-a985-74d0c725377d,deposit,2.0698,2.0698,USDT BEP20 deposit — 2.0698 USDT,usdt_bep20,0x3663eb3b5893ecd6a89c67025266a496612eaf5a63756b4a0ed922c240b2ef00,completed,2026-04-07 04:49:43.545576+00
c7f186b9-bca7-4fc8-8b89-1166ced4edc0,497f732b-6a5c-412f-b554-da06f3039f99,deposit,0.5400,0.5400,"{""inr_amount"":""50"",""screenshot_url"":null,""type"":""razorpay_manual""}",razorpay_manual,609714199962,completed,2026-04-07 05:29:51.441531+00
303ca710-0ff6-4de6-9bc9-959f433717b7,e0b9b0b7-b704-4eb1-ba6d-bd5acb4d7957,deposit,0.5400,0.5552,"{""inr_amount"":""50"",""screenshot_url"":""https://ziqdvrxvkwryprwpqped.supabase.co/storage/v1/object/public/deposit-screenshots/e0b9b0b7-b704-4eb1-ba6d-bd5acb4d7957/1775541442805.jpg"",""type"":""razorpay_manual""}",razorpay_manual,300306954070,completed,2026-04-07 05:57:23.307579+00
b91f1f20-0f07-4d0b-bec0-bb3065ea7398,b45b10f2-5a26-4443-acac-fe13e37b46cb,order_payment,0.0076,0.0332,Engagement Order #6851,"","",completed,2026-06-27 12:59:56.490618+00
3d601f01-76d0-457a-bf85-53a0bd35f987,2a4ee2a6-bf99-4870-9c8f-ec15d95c4ca9,deposit,1.0700,1.1575,"{""inr_amount"":""100"",""screenshot_url"":""https://ziqdvrxvkwryprwpqped.supabase.co/storage/v1/object/public/deposit-screenshots/2a4ee2a6-bf99-4870-9c8f-ec15d95c4ca9/1775552238261.png"",""type"":""razorpay_manual""}",razorpay_manual,FMPIB5090513297,completed,2026-04-07 08:57:21.865014+00
e8161494-d6ab-4a89-893a-39d19c0d8e1a,327f1043-9e1e-48ff-bbe4-b27a37e50016,order_payment,0.5331,0.0657,Engagement Order #6931,"","",completed,2026-06-27 21:54:47.014723+00
